시군명	충전소명	소재지지번주소	소재지도로명주소	소재지우편번호	WGS84위도	WGS84경도	운영기관명	충전기타입명
용인시	모현농협 하나로마트	경기도 용인시 처인구 모현읍 왕산리 815-2번지	경기도 용인시 처인구 모현읍 백옥대로 2373	17035	37.3355802254	127.2488022767	한국전력	DC차데모+AC3상+DC콤보
용인시	이동읍사무소	경기도 용인시 처인구 이동읍 송전리 750-3번지	경기도 용인시 처인구 이동읍 경기동로 673	17136	37.1411233252	127.1961991903	한국전력	DC차데모+AC3상+DC콤보
용인시	유림동주민센터	경기도 용인시 처인구 유방동 475-20번지	경기도 용인시 처인구 백옥대로 1315	17043	37.2528565755	127.2120455075	한국전력	DC차데모+AC3상+DC콤보
용인시	동부도서관	경기도 용인시 처인구 역북동 504-1번지	경기도 용인시 처인구 명지로 27	17057	37.2334849507	127.1904177097	한국전력	DC차데모+AC3상+DC콤보
용인시	기흥구청	경기도 용인시 기흥구 구갈동 355번지	경기도 용인시 기흥구 관곡로 95	16963	37.2804510231	127.1147025910	한국전력	DC차데모+AC3상+DC콤보
용인시	영덕동주민센터	경기도 용인시 기흥구 영덕동 1005번지	경기도 용인시 기흥구 흥덕1로 13	16954	37.2707064991	127.0675947052	한국전력	DC차데모+AC3상+DC콤보
용인시	아르피아주차장	경기도 용인시 수지구 죽전동 1003-43번지	경기도 용인시 수지구 포은대로 499	16870	37.3255782532	127.1048555877	한국전력	DC차데모+AC3상+DC콤보
용인시	물푸레마을 경남아너스빌	경기도 용인시 기흥구 청덕동 497번지 물푸레마을경남아너스빌아파트		16892	37.2973439076	127.1528206909	케이티	AC완속
용인시	이스트팰리스4단지아파트	경기도 용인시 수지구 동천동 923번지 한빛마을래미안이스트팰리스4단지		16822	37.3357749347	127.0843921468	케이티	AC완속
용인시	원천마을 푸르지오아파트	경기도 용인시 수지구 동천동 910번지 원천마을푸르지오아파트		16825	37.3426464150	127.1009502327	케이티	AC완속
용인시	용인실내체육관	경기도 용인시 처인구 마평동 703번지	경기도 용인시 처인구 경안천로 76	17152	37.2385435325	127.2125509317	한국전력	DC차데모+AC3상+DC콤보
용인시	양지면사무소	경기도 용인시 처인구 양지면 양지리 701-9번지	경기도 용인시 처인구 양지면 양지로105번길 5	17158	37.2354877465	127.2798333574	한국전력	DC차데모+AC3상+DC콤보
용인시	용인자연휴양림	경기도 용인시 처인구 모현읍 초부리 산22번지	경기도 용인시 처인구 모현읍 초부로 220	17037	37.3157725302	127.2688891995	한국전력	DC차데모+AC3상+DC콤보
용인시	동부동주민센터	경기도 용인시 처인구 마평동 533-8번지	경기도 용인시 처인구 중부대로 1574	17144	37.2327634071	127.2191790873	한국전력	DC차데모+AC3상+DC콤보
용인시	신갈동주민센터	경기도 용인시 기흥구 신갈동 60-3번지	경기도 용인시 기흥구 신갈로58번길 11	16969	37.2725644668	127.1066780887	한국전력	DC차데모+AC3상+DC콤보
용인시	상현도서관	경기도 용인시 수지구 상현동 1129-2번지	경기도 용인시 수지구 법조로 232	16942	37.2999719376	127.0742875112	한국전력	DC차데모+AC3상+DC콤보
용인시	서그내마을SKVIEW아파트	경기도 용인시 기흥구 서천동 700번지 서그내마을에스케이아파트		17103	37.2439395098	127.0713105828	케이티	AC완속
용인시	죽전퍼스트하임	경기도 용인시 수지구 죽전동 488번지 죽전퍼스트하임아파트		16872	37.3299921914	127.1149238327	케이티	AC완속
용인시	수지푸르지오월드마크상가	경기도 용인시 수지구 풍덕천동 1195번지 수지푸르지오월드마크		16833	37.3236086757	127.1008138971	케이티	AC완속
용인시	한국지엠명지서비스	경기도 용인시 처인구 남동 62-2번지	경기도 용인시 처인구 명지로 254	17060	37.2269620423	127.2022354404	케이티	AC완속
용인시	케이씨씨 중앙연구소	경기도 용인시 기흥구 마북동 83번지 KCC중앙연구소	경기도 용인시 기흥구 마북로240번길 17-3	16891	37.3121544859	127.1350799418	케이티	AC완속
용인시	(주)케이씨씨중앙연구소	경기도 용인시 기흥구 마북동 83번지 KCC중앙연구소 (기흥구 마북동 83번지 KCC중앙연구소)	경기도 용인시 기흥구 마북로240번길 17-3	16891	37.3121544859	127.1350799418	케이티	DC차데모+AC3상+DC콤보
용인시	기흥삼성래미안1차아파트	경기도 용인시 기흥구 마북동 629번지 삼성래미안1차아파트		16909	37.2991084244	127.1115045435	케이티	AC완속
용인시	백현마을상록롯데캐슬아파트	경기도 용인시 기흥구 중동 878번지 백현마을상록롯데캐슬아파트		17004	37.2761567581	127.1575089148	케이티	AC완속
용인시	롯데캐슬	경기도 용인시 수지구 죽전동 1115번지 도담마을롯데캐슬아파트		16873	37.3289696130	127.1164641822	케이티	AC완속
용인시	광교마을웅진스타클래스	경기도 용인시 수지구 상현동 1107번지 광교마을웅진스타클래스1단지		16941	37.3006829660	127.0739901331	케이티	AC완속
용인시	죽전중앙하이츠빌	경기도 용인시 수지구 죽전동 1112번지 대지마을중앙하이츠빌아파트		16871	37.3321596291	127.1161883367	케이티	AC완속
용인시	어정마을동백아이파크	경기도 용인시 기흥구 중동 1081번지 동백아이파크아파트		16988	37.2778173785	127.1459505750	케이티	AC완속
용인시	고림동금평마을영화아파트	경기도 용인시 처인구 고림동 1000번지 금평마을영화아파트		17038	37.2658034463	127.2245715456	케이티	AC완속
용인시	신봉마을자이2차아파트	경기도 용인시 수지구 신봉동 911번지 신봉마을자이2차아파트		16813	37.3295487295	127.0749108319	케이티	AC완속
용인시	용인동부경찰서	경기도 용인시 처인구 삼가동 538번지 처인구 삼가동	경기도 용인시 처인구 금학로 143	17019	37.2415620313	127.1804291184	에스트래픽	DC차데모+AC3상+DC콤보
용인시	용인시여성회관주차장(지하1층)	경기도 용인시 수지구 풍덕천동 1086번지 주차타워 B1(수지구 풍덕천동)	경기도 용인시 수지구 문정로7번길 15	16841	37.3205436396	127.0954126088	에스트래픽	DC차데모+AC3상+DC콤보
용인시	서농동주민센터	경기도 용인시 					에스트래픽	DC차데모+DC콤보
용인시	삼성물산(주)에버랜드리조트1	경기도 용인시 처인구 포곡읍 전대리 274번지	경기도 용인시 처인구 포곡읍 곡현로 76	17023	37.2935119878	127.2243915845	대영채비	AC완속
용인시	용인서부경찰서	경기도 용인시 기흥구 보정동 1290번지 기흥구 보정동	경기도 용인시 기흥구 용구대로2469번길 32	16905	37.3096280498	127.1061691228	에스트래픽	DC차데모+AC3상+DC콤보
용인시	이마트 죽전점(지상6층 주차장)	경기도 용인시 수지구 죽전동 1282번지 지상 6층 주차장	경기도 용인시 수지구 포은대로 552	16896	37.3253249176	127.1100038667	에스트래픽	DC차데모+DC콤보
용인시	금학공영주차장	경기도 용인시 처인구 김량장동 324-8번지	경기도 용인시 처인구 용문로 140	17050	37.2361448771	127.2012523198	환경부(한국자동차환경협회)	DC콤보
용인시	포곡읍사무소	경기도 용인시 처인구 포곡읍 삼계리 588-5번지 입구 왼쪽 주차장 끝부지	경기도 용인시 처인구 포곡읍 포곡로 258	17028	37.2778154415	127.2308220892	환경부(한국자동차환경협회)	DC차데모+AC3상+DC콤보
용인시	기흥휴게소(부산방향)	경기도 용인시 기흥구 공세동 260-1번지	경기도 용인시 기흥구 공세로 173	17100	37.2358140297	127.1038477163	환경부(한국자동차환경협회)	DC차데모+AC3상+DC콤보
용인시	용인휴게소(서창방향)	경기도 용인시 처인구 고림동 81-2번지	경기도 용인시 처인구 주북로 66-14	17039	37.2483744986	127.2383237259	환경부(한국자동차환경협회)	DC차데모+AC3상+DC콤보
용인시	롯데마트 수지점	경기도 용인시 기흥구 보정동 266-4번지 4층 31, 정비소 옆	경기도 용인시 기흥구 진산로 116	16923	37.3207827669	127.0994631781	환경부(한국자동차환경협회)	DC콤보
용인시	용인시 용인수하림	경기도 용인시 처인구 포곡읍 영문리 113-6 주차장	경기도 용인시 처인구 포곡읍 석성로 1051	17025	37.2747524682	127.2124133160	차지비	AC완속
용인시	용인시 현대블루핸즈(구성서비스)	경기도 용인시 기흥구 중동 1112-7번지	경기도 용인시 기흥구 동백죽전대로527번길 98-25	16987	37.2827469224	127.1425883590	차지비	AC완속
용인시	용인시 문향전통찻집	경기도 용인시 수지구 신봉동 648-2번지 찻집내 주차장	경기도 용인시 수지구 신봉1로347번길 6	16803	37.3329572892	127.0508701210	차지비	AC완속
용인시	용인시 이마트(용인점)	경기도 용인시 처인구 역북동 586-6번지 본관4층 A1구역	경기도 용인시 처인구 명지로 53	17057	37.2314895326	127.1891519966	차지비	AC완속
용인시	용인시 이마트(흥덕점)	경기도 용인시 기흥구 영덕동 985-3번지 본관B3층 I5구역	경기도 용인시 기흥구 흥덕중앙로 60	16954	37.2757570895	127.0733297742	차지비	AC완속
용인시	광교SB타운	경기도 용인시 수지구 상현동 1132번지 B1호	경기도 용인시 수지구 광교마을로 54	16943	37.2982005648	127.0705063702	에버온	AC완속
용인시	㈜한화시스템	경기도 용인시 처인구 남사면 창리 304-5번지 지상주차장	경기도 용인시 처인구 남사면 경기동로 491-23	17121	37.1434863528	127.1795810549	지엔텔	AC완속
용인시	용인시청	경기도 용인시 처인구 삼가동 556번지 별관 지하 1층 주차장내(556 용인시청 별관 지하 1층 주차장내)	경기도 용인시 처인구 중부대로 1199	17019	37.2406392886	127.1792040872	지엔텔	AC완속
용인시	상현1동행정복지센터	경기도 용인시 수지구 상현동 839번지 행정복지센터	경기도 용인시 수지구 상현로 71	16937	37.3046295504	127.0811445401	에버온	AC완속
용인시	성복동주민센터	경기도 용인시 수지구 성복동 777번지 성복동주민센터	경기도 용인시 수지구 성복1로 100	16852	37.3164842879	127.0690029183	에버온	AC완속
용인시	용인시 용인중앙시장제1공영주차장	경기도 용인시 처인구 김량장동 254-196번지 지상1층주차장	경기도 용인시 처인구 금령로71번길 12-19	17052	37.2364149340	127.2047010788	지엔텔	DC차데모+AC3상+DC콤보
용인시	원삼면사무소	경기도 용인시 처인구 원삼면 고당리 88-1번지	경기도 용인시 처인구 원삼면 원양로 64	17168	37.1665691838	127.3132497187	한국전력	DC차데모+AC3상+DC콤보
용인시	용인성복힐스테이트3차아파트	경기도 용인시 수지구 성복동 760번지 버들치마을힐스테이트3차		16807	37.3215850785	127.0637932407	케이티	AC완속
용인시	용인시 이마트(수지점)	경기도 용인시 수지구 신봉동 909번지 본관3층 G구역	경기도 용인시 수지구 수지로 203	16845	37.3197625692	127.0833291279	차지비	AC완속
용인시	중앙공영주차장	경기도 용인시 처인구 김량장동 80-2번지	경기도 용인시 처인구 백옥대로 1103	17051	37.2340535935	127.2084756668	한국전기차충전서비스	AC완속
용인시	용인시청 동백동주민센터	경기도 용인시 기흥구 중동 866-1번지 지하2층 주차장 벽면(866-1 지하2층 주차장 벽면)	경기도 용인시 기흥구 동백중앙로 214	17007	37.2725250584	127.1516488488	지엔텔	AC완속
용인시	용인시 용인시청주차장	경기도 용인시 처인구 삼가동 556번지 지하1층주차장(나11)(556 지하1층주차장(나11))	경기도 용인시 처인구 중부대로 1199	17019	37.2406392886	127.1792040872	지엔텔	AC완속
용인시	용인시 백암면사무소	경기도 용인시 처인구 백암면 백암리 495-3번지 지상1층주차장(495-3 지상1층주차장)	경기도 용인시 처인구 백암면 백암로 189	17178	37.1633966837	127.3753735896	지엔텔	DC차데모+AC3상+DC콤보
